"filename", "language", "vue", "JavaScript", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\SingleOptionsGridAnswerSettings.vue", "vue", 125, 0, 0, 0, 0, 7, 132
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\index.js", "JavaScript", 0, 14, 0, 0, 0, 4, 18
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\DetailedTextQuestion.vue", "vue", 28, 0, 0, 0, 0, 0, 28
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\MultipleOptionsGridQuestion.vue", "vue", 161, 0, 0, 0, 0, 21, 182
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\MultipleOptionsQuestion.vue", "vue", 123, 0, 0, 0, 0, 17, 140
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\ShortTextQuestion.vue", "vue", 42, 0, 0, 0, 0, 3, 45
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\SingleOptionQuestion.vue", "vue", 124, 0, 0, 0, 0, 18, 142
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\SingleOptionsGridQuestion.vue", "vue", 162, 0, 0, 0, 0, 21, 183
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\index.js", "JavaScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\forms-list\FormContextMenu.vue", "vue", 73, 0, 0, 0, 0, 4, 77
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\forms-list\FormsListItem.vue", "vue", 118, 0, 0, 0, 0, 17, 135
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submissions-list\SubmissionContextMenu.vue", "vue", 47, 0, 0, 0, 0, 2, 49
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submissions-list\SubmissionListItem.vue", "vue", 92, 0, 0, 0, 0, 10, 102
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\SubmitFormBySteps.vue", "vue", 251, 0, 0, 0, 0, 48, 299
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\SubmitFormSimple.vue", "vue", 166, 0, 0, 0, 0, 30, 196
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\DetailedTextAnswerRenderer.vue", "vue", 53, 0, 0, 0, 0, 5, 58
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\MultipleOptionsAnswerRenderer.vue", "vue", 102, 0, 0, 0, 0, 9, 111
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\MultipleOptionsGridAnswerRenderer.vue", "vue", 105, 0, 0, 0, 0, 8, 113
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\ShortTextAnswerRenderer.vue", "vue", 61, 0, 0, 0, 0, 7, 68
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\SingleOptionAnswerRenderer.vue", "vue", 97, 0, 0, 0, 0, 6, 103
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\SingleOptionGridAnswerRenderer.vue", "vue", 114, 0, 0, 0, 0, 7, 121
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\submit-form\question-renderers\index.js", "JavaScript", 0, 14, 0, 0, 0, 3, 17
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\view-forms\FormsTable.vue", "vue", 76, 0, 0, 0, 0, 0, 76
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\view-forms\FormsTableFilters.vue", "vue", 0, 0, 0, 0, 0, 1, 1
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\composables\useForm.js", "JavaScript", 0, 116, 0, 0, 0, 18, 134
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\composables\useFormManager.js", "JavaScript", 0, 120, 0, 0, 0, 25, 145
